Arnold,"Bread, Premium White Enriched",Premium White Enriched,"Unbleached Enriched Wheat Flour,Flour, Malted Barley Flour, Reduced Iron, Niacin, Thiamin Mononitrate,Vitamin B1, Riboflavin,Vitamin B2, Folic Acid, Water, Sugar, Yeast, Soybean Oil, Salt, Monoglycerides, Wheat Gluten, Calcium Propionate,Preservative, Calcium Sulfate, Datem, Natural Flavor, Soy Lecithin, Azodicarbonamide",90,15,1,0,17,33,G
Sam's Choice,All Natural Chocolate Ice Cream,,,260,140,16,10,8,0.5,cup
Great Value,Fudge Double Filled Twist & Shout Sandwich Cookies,,,140,50,6,2,15,2,cookies
Andrew & Everett,"Shredded Cheese, Mozzarella",,,80,50,6,3.5,8,0.25,cup
Zoglo's,"Hot Dogs, Savory Meatless Franks",,,120,70,8,1,4,2,franks
Kraft,"Cheese, Italian Three Cheese",Italian Three Cheese,"Low-Moisture Part-Skim Mozzarella Cheese,Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes, Reduced Fat Provolone Cheese,Pasteurized Part-Skim Milk, Cheese Culture, Salt, Vitamin A Palmitate, Enzymes, Calcium Sulfate, Parmesan Cheese,Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes; Potato Starch, Cellulose Powder and Calcium Sulfate to Prevent Caking; Natamycin,a Natural Mold Inhibitor",80,45,5,3,7,0.25,cup
Market Day,"Mini Omelets, with Reduced Fat Cheese",with Reduced Fat Cheese,"Egg Patty: Egg Whites, Water, Modified Corn Starch, Vegetable Oil,Corn and/or Soybean, Natural Flavors, Guar Gum, Xanthan Gum, Color,Includes Beta-Carotene Filling: Reduced Sodium and Reduced Fat Pasteurized Process Cheddar Cheese,Cultured Milk Powder, Water, Skim Milk, Sodium Phosphate, Whey, Salt, Annatto Color, Enzymes, Vitamin A Palmitate",60,20,2,1,12,1,omelet
Medical Weight Loss Clinic,"Fruit Drink, Mixed Berry",,,60,0,0,0,7,1,packet
Lowes Foods,"Shredded Cheese, Mild Cheddar",,,110,80,9,6,12,0.25,cup
Herr's,"Potato Chips, Fireman's, BBQ Chicken","Fireman's, BBQ Chicken","Choice Potatoes Cooked in Vegetable Oil,Contains One or More of the Following: Corn, Cottonseed, Sunflower, Salt, Sugar, Vinegar Powder,Maltodextrin, Vinegar Solids, Modified Food Starch, Monosodium Glutamate, Hot Sauce,,Aged Cayenne Peppers, Vinegar, Salt, Garlic, Maltodextrin, and Silicon Dioxide, Maltodextrin, Dehydrated Garlic, Citric Acid, Chicken Flavor,Hydrolyzed Corn Gluten, Salt, Maltodextrin, Corn Oil, Sodium Phosphate, Spices, Sucrose, Natural Flavors and Disodium Inosinate and Disodium Guanylate, Oleoresin Paprika, Natural Flavors, and spice extractive",270,140,16,4,1,1,bag
Reese,"Trout, Golden Smoked Fillets 3.75 Oz",Golden Smoked Fillets 3.75 Oz,"Trout, Olive Oil, Salt",180,110,12,2,1,79,G
Raisin Bran,Raisin Bran,,"Whole Wheat, Raisins, Wheat Bran, Sugar, High Fructose Corn Syrup, Salt, Malt Flavoring, Niacinamide, Reduced Iron, Zinc Oxide, Pyridoxine Hydrochloride,Vitamin B6, Riboflavin,Vitamin B2, Thiamin Hydrochloride,Vitamin B1, Vitamin A Palmitate, Folic Acid, Vitamin B12 and Vitamin D",140,5,1,0,1,1,box
Morning Fresh Farms,"Fancy Shredded Natural Cheese, Sharp Cheddar",,,80,50,6,3.5,8,0.25,cup
America's Choice,Ripe Pitted Large Olives,,"Ripe Olives, Water, Salt and Ferrous Gluconate,added to stabilize color",25,20,2,0,11,15,g
Safeway Kitchens,Chicken Kiev,,"Boneless Breast of Chicken with Rib Meat, Water, Seasoning,Sugar, Salt, Dehydrated Chicken Broth, Dehydrated Garlic, Dehydrated Onion, Sodium Phosphates Breaded with: Bleached Wheat Flour, Dextrose, Partially Hydrogenated Soybean Oil, Ground Paprika, Salt, Nonfat Dried Milk, Leavening,Sodium Acid Pyrophosphates, Sodium Bicarbonate, Mono and Diglycerides, Natural Flavor, Spice Extractives Filled with: Unsalted Butter,Pasteurized Cream, Lactic Acid, Diacetyl, Seasoning,Salt, Dehydrated Garlic, Sugar, Dextrose, Spices, Natural Flavorings, Annatto Extract, Oleoresin Turmeric, Chives Battered with: Water, Enriched Bleached Wheat Flour,Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid, Modified Food Starch, Yellow Corn Flour, Salt, Leavening,Sodium Acid Pyrophosphates, Sodium Bicarbonate, Pre-Browned in Vegetable Oil",360,190,21,10,14,1,package
Goya,"Empanadas, Beef",Beef,"Filling: Beef, Water, Green Bell Peppers, Tomato Paste,Tomato, Salt, Citric Acid, Calcium Chloride, Textured Soy Flour, Dehydrated Onions, Stuffed Olives,Olives, Water, Pureed Pimentos, Salt, Lactic Acid, Sodium Alginate, Guar Gum, Calcium Chloride, Corn Oil, Vinegar, Pimientos, Dehydrated Garlic, Salt, Cilantro, Ham Flavor,Hydrolyzed Soy Protein, Torula Yeast, Salt, Onion Powder, Liquid Smoke, Spices, Annatto Dough: Enriched Wheat Flour,Wheat Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid, Water, Shortening,Made from Partially Hydrogenated Soybean Oil, Salt, Sugar, Dough Conditioner,Sodium Stearoyl Lactylate, Calcium Sulfate, L-Cysteine Hydrochloride, Annatto",380,100,12,3,2,2,empanadas
Hurricane Bay,Southwestern Marinade,,"Worcestershire, Raisin Paste, Vinegar, Honey, Habanero Peppers, Fructose, Papaya Puree, Key Lime Concentrate, Chipotle Powder, Cilantro and Spices",47,0,0,0,12,1,fl oz
Popcorn Indiana,Aged White Cheddar Popcorn,,,150,80,9,1,6.5,2.5,cups
Midwest Country Fare,"Tomatoes, Whole Peeled",Whole Peeled,"Tomatoes, Tomato Juice, Salt, Citric Acid, Calcium Chloride",25,0,0,0,3.5,0.5,cup
Heritage Farm,Bologna,,,150,120,13,5,8,1,slice
Hill Country Fare,Honey Sweet Corn Bread,,,130,25,3,1,5,0.25,cup dry mix
Giant,Cheddar Cheese Twice Baked Potatoes,,,190,60,7,2.5,2,1,piece
Spartan,Shredded Mozzarella Cheese,,,90,50,6,3.5,32,0.25,cup
Detour,"Energy Bar, Chocolate Peanut Butter",Chocolate Peanut Butter,"Whey Protein Crisps,Whey Protein Concentrate Rice Flour, Caramel,Fructose, Corn Syrup Solids, Cream, Water, Inulin,Chicory Extract, Whole Milk Powder, Nonfat Dry Milk Powder, Natural Flavors, Butter, Salt, Disodium Phosphate, Lecithin, Peanuts, Inulin,Chicory Extract, Milk Chocolate Flavored Coating,Sugar, Palm Kernel Oil, Nonfat Dry Milk Solids, Cocoa Powder, Soy Lecithin, Salt, Natural Flavor, Vegetable Glycerin, Peanut Butter Drops,Sugar, Palm Kernel Oil, Partially Defatted Peanut Flour, Nonfat Dry Milk Solids, Whey Powder, Peanut Butter,Peanuts, Cottonseed and Rapeseed Oil, Dextrose, Salt and Soy Lecithin, MicroLactin,Milk Protein Concentrate, Peanut Flour, Natural Flavors",210,60,7,3,0,1,bar
Juicy Juice,"100% Juice, Apple",Apple,"Apple Juice from Concentrate,Water, Juice Concentrate, Ascorbic Acid,Vitamin C, Citric Acid",110,0,0,0,6,8,fl oz
Welch's,"Frozen Smoothie Kit, Blueberry Cherry Blend",,,80,10,1,0,2,0.5,bag
Fair Oaks Farms,"Milk, Fat Free",Fat Free,"Fat Free Milk, Vitamin A Palmitate, Vitamin D3",90,0,0,0,8,1,cup
Ghirardelli Chocolate,Dark Melting Wafers,,,220,130,15,13,22,18,wafers
Bumble Bee,"Red Salmon, Wild Alaska Sockeye",Wild Alaska Sockeye,"Sockeye Salmon, Salt",110,60,7,1,7,0.25,cup
Gold Emblem,Luxury Wafers,,,130,40,4.5,2,12,3,pieces
Borden,"Punch, Pineapple Banana",Pineapple Banana,"Water, High Fructose Corn Syrup, Citric Acid, Modified Food Starch, Xanthan Gum, Corn Oil, Sodium Citrate, Natural & Artificial Flavors, Ascorbic Acid,Vitamin C, Sodium Benzoate,Preservative, Yellow 5 & 6, EDTA,to Preserve Freshness",130,0,0,0,16,1,cup
Hormel,"Franks, Wranglers Coarse Ground Cheese Smoked",Wranglers Coarse Ground Cheese Smoked,"Pork, Pasteurized Process Cheddar Cheese,Cheddar Cheese,Pasteurized Cultured Milk, Salt, Enzymes, Milkfat, Sodium Citrate, Sodium Phosphates, Salt, Sorbic Acid,Preservative, Artificial Color, Potassium Sorbate and Natamycin,Preservatives, Beef, Salt, Potassium Lactate, Corn Syrup, Modified Food Starch, Dextrose, Flavoring, Sodium Diacetate, Ascorbate,Vitamin C, Sodium Nitrite, Oleoresin of Paprika",170,130,15,6,8,0,G
Meijer Organics,Extra Virgin Olive Oil,,,120,120,14,2,33,1,tbsp
Truitt Brothers,Garbanzo Beans,,"Garbanzo Beans, Water and Sea Salt",120,20,2,0,4,0.5,cup
Monster,"Energy Drink, Absolutely Zero",,,0,0,0,0,2,8,fl oz
Pepperidge Farm,"Cookie Collection, Holiday Homestyle",Holiday Homestyle,"Unbleached Enriched Wheat Flour,Flour, Niacin, Reduced Iron, Thiamine Mononitrate,Vitamin B1, Riboflavin,Vitamin B2, Folic Acid, Semi Sweet Chocolate,Sugar, Chocolate Liquor, Chocolate Liquor Processed with Alkali,Dutched, Cocoa Butter, Butter Oil, Soy Lecithin, Vanilla Extract, Sugar, Vegetable Oils,Palm and/or Interesterified and Hydrogenated Soybean and/or Hydrogenated Cottonseed, Butter, Brown Sugar,Sugar, Invert Sugar, Molasses, Cornstarch, Eggs, Contains 2 Percent or Less of: Unsulphured Molasses, Dextrose, Salt, Leavening,Baking Soda, Cream of Tartar, Spices, Nonfat Milk, Confectioner's Glaze, Yellow 5 Lake, Natural Flavors, Blue 1 Lake, Carnauba Wax, Red 3, Red 40, Yellow 6 and Blue 2",160,60,7,3,13.5,3,cookies
Rozzana,Organic Butternut Squash Ravioli,,,210,25,2.5,1,8,1,cup
Dove,"Milk Chocolate, Smooth with Caramel",Smooth with Caramel,"Milk Chocolate,Sugar, Cocoa Butter, Chocolate, Skim Milk, Milkfat, Lactose, Chocolate Processed with Alkali, Soy Lecithin, Natural and Artificial Flavors, Caramel,Corn Syrup, Hydrogenated Palm Kernel Oil and/or Palm Oil, Sugar, Skim Milk, Milkfat, Lactose, Salt, Potassium Sorbate to Maintain Freshness, Artificial Flavor",200,100,11,7,4.5,5,pieces
Roman Brand,Ricotta Lasagna,,,300,108,12,6,0,0.25,lasagna
Sensational Sides,Baked Scalloped Potatoes Sensational Sides,Baked Scalloped,"Potatoes, Sauce,Milk, Cheddar, Parmesan And Romano Cheese,{Pasteurized Part-Skim Cow's Milk, Cheese Culture, Salt, Enzymes}, Annatto Color, Dextrose, Butter, Sour Cream,Pasteurized Cultured Cream, Modified Corn Starch, Salt, Onion Powder, Potassium Sorbate And Sodium Benzoate to Protect Flavor, Spice",210,110,12,7,3,0.66,cup
Ronzoni,"Linguine, 17",,"Semolina,Wheat, Niacin, Iron,Ferrous Sulfate, Thiamin Mononitrate, Riboflavin, Folic Acid",210,10,1,0,8,2,oz
Roma Bakery,Honey Wheat Nugget Bread,,"Bleached Enriched Flour,Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folate, Water, Coarse Cracked Wheat, Yeast, Honey, High Fructose Corn Syrup, Vegetable Oil,Soybean Oil, Wheat, Gluten, Salt, Malt Syrup,Corn Syrup, Barley Malt Extract and Saccharifying Enzymes, Dough Conditioner,Flour, Diacetyl Tartaric Acid Esters of Mono & Diglycerides,DATEM, Salt, Calcium Stearoyl Lactylate,CSL, Calcium Sulfate, Contains 2% or Less of: Vegetable Shortening,Partially Hydrogenated Soybean, Cottonseed and/or Canola Oil, Ascorbic Acid, Potassium Iodate, L-Cysteine, Azodicarbonamide,ADA, Enzyme, Calcium Propionate,to Retard Spoilage, Enzyme, Ascorbic Acid",150,20,2,0,12,2,slices
Unknown,"Hazelnut Butter Blend, Chocolate",,,180,130,15,3,1,1,pack
Cape Cod,"Popcorn, Premium White Cheddarf Cheese",Premium White Cheddarf Cheese,"Popcorn, Vegetable Oil,Cottonseed Oil and/or Canola Oil, Cheddar Cheese,Milk, Salt, Cheese Culture, Enzymes, Whey, Buttermilk, Salt and Citric Acid",170,110,12,2,3,30,g
Home Dairies,"Coffee Creamer, Cinnamon Vanilla Lactose Free",Cinnamon Vanilla Lactose Free,"Water, Sugar, Partially Hydrogenated Soybean And Cottonseed Oil, Sodium Caseinate,A Milk Derivative, Dipotassium Phosphate, Natural & Artificial Flavor, Artificial Color,Titanium Dioxide, Datem, Polysorbate 60, Carrageenan, Beta-Carotene,For Color",30,10,1,0,63,15,Ml
Market Pantry,Prune Juice,,,180,0,0,0,8,8,fl oz
Hostess,Ding Dongs,,"Sugar, Water, Enriched Bleached Wheat Flour,Flour, Barley Malt, Ferrous Sulfate,Iron, B Vitamins,Niacin, Thiamine Mononitrate,B1j, Riboflavin,B2, Folic Acid, Partially Hydrogenated Vegetable Oils,Palm Kernel, Coconut, Palm, High Fructose Corn Syrup, Cocoa Processed with Alkali, Palm Oil, Corn Syrup, Soybean Oil, Partially Hydrogenated Vegetable and/or Animal Shortening ,Soybean, Cottonseed and/or Canola Oil, Beef Fat Contains 2% or Less of: Modified Corn Starch, Soy Flour, DATEM, Sodium Stearoyl Lactylate, Cornstarch, Mono and Diglycerides, Soy Lecithin, Leavenings,Sodium Acid  Pyrophosphate, Baking Soda, Monocalcium Phosphate, Salt, Calcium and Sodium Caseinate, Cellulose Gum, Xanthan Gum, Polysorbate 60, Sweet Dairy Whey, Soy Protein Isolate, Glucose, Whole Eggs, Egg Yolk, Natural and Artificial Flavors,Caramel Color, Sorbic Acid,to Retain Freshness",360,170,19,13,6,2,cakes
High Liner,Basil Pesto Cod,,,180,60,6,1.5,5,1,fillet
Dell' Alpe,"Muffuletta Olive Salad, Italian Style",,,37,126,14,0,17,1,tbsp
Trident,"Gum, Sugar Free, Cool Rush","Sugar Free, Cool Rush","Sorbitol, Gum Base, Maltitol, Natural and Artificial Flavoring, Mannitol; Less than 2% of: Acacia, Acesulfame Potassium, Aspartame, BHT,to Maintain Freshness, Candelilla Wax, Glycerin, Sodium Stearate and Titanium Dioxide,Color",5,0,0,0,72,2,pieces
Herb Ox,"Bouillon Cubes, Chicken Flavor",Chicken Flavor,"Salt, Sweetener,Sugar and/or Dextrose and/or Sorbitol, Hydrolyzed Corn Protein, Natural Flavor,Autolyzed Yeast Extract, Salt, Sugar, Whey Powder, Lactic Acid, Chicken Fat, Disodium Inosinate and Disodium Guanylate, Dried Chicken,Contains Natural Flavor, Parsley, Turmeric Color, Onion Powder, Celery, Garlic Powder No MSG Added,Contains Naturally Occurring Glutamates Gluten free",5,0,0,0,12,1,cube
Kellogg's Eggo,"Waffles, Whole Grain",,,140,25,2.5,0.5,5,2,waffles
Sunbeam,"Bread, Small",Small,"Unbleached Enriched Wheat Flour,Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate,Vitamin B1, Riboflavin,Vitamin B2, Folic Acid,A B Vitamin, Water, High Fructose Corn Syrup, Yeast, Contains 2% Or Less of Each of The Following: Wheat Gluten, Vegetable Oil,Soybean Oil Or Canola Oil, Salt Dough Conditioners,Sodium Stearoyl Lactylate, Calcium Stearoyl-2-Lactylate, Monoglycerides, Calcium Peroxide, Datem, Soy Flour, Calcium Sulfate, Calcium Propionate,to Retard Spoilage, Monocalcium Phosphate, Yeast Food,Ammonium Sulfate",110,10,1,0,11,42,G
Wegmans,"Pierogies, Spinach & Feta Cheese, Club Pack","Spinach & Feta Cheese, Club Pack","Bleached Enriched Flour,Wheat Flour, Benzoyl Peroxide, Niacin, Iron, Thiamin Mononitrate,Vitamin B1, Riboflavin,Vitamin B2, Enzyme, Folic Acid, Fresh Potato, Water, Margarine,Canola Oil, Water, Modified Palm and Palm Kernel Oil, Salt, Whey Powder, Vegetable Mono and Diglycerides, Soya Lecithin, Sodium Benzoate,Preservative, Citric Acid, Artificial Flavor, Vitamin A Palmitate, Vitamin D3, Spinach, Feta Cheese,Pasteurized Milk, Modified Milk Ingredients, Bacterial Culture, Calcium Chloride, Enzyme, Lipase, Canola Oil, Egg White, Salt, Seasonings,Salt, Sugar, Dehydrated Onion, Hydrolyzed Soy and Corn Protein, Cornstarch, Spice, Disodium Inosinate, Disodium Guanylate, Garlic Powder",310,60,7,1,12,4,pierogies
Butter Braid,"Braided Pastry, Strawberry & Cream Cheese",,,160,50,5,3.5,11,2,oz
Kevita,"Sparkling Probiotic Drink, Coconut","Sparkling, Coconut","Reverse Osmosis Purified Water, Organic KeVita Probiotic Culture,Bacillus Coagulans GBI-306086, L Paracasei, L Plantarum, L Rhamnosus, Organic Coconut Water, Organic Apple Cider Vinegar, Organic Coconut Flavor, Ascorbic Acid, Organic Stevia Gluten free",5,0,0,0,2,8,fl oz
De La Rosa,"Pop, Jumbo Cherry With Bubble Gum Filling",Jumbo Cherry With Bubble Gum Filling,"Sugar, Corn Syrup, Gum Base Contains 2% Or Less of Citric Acid, Lactic Acid, Maltic Acid, Potassium Citrate, Sodium Lactate, Artificial Flavor, Red 40, Titanium Dioxide, Milk",140,0,0,0,25,38,G
Dean's,TruMoo Chocolate Lowfat Milk,,,140,25,2.5,1.5,4,1,cup
Thomas',"Mini Bagels, Plain","Mini, Plain, Pre-Sliced","Unbleached Enriched Wheat Flour,Flour, Malted Barley Flour, Reduced Iron, Niacin, Thiamin Mononitrate,Vitamin B1, Riboflavin,Vitamin B2, Folic Acid, Water, Sugar, Yeast, Salt, Monoglycerides, Wheat Gluten, Preservatives,Calcium Propionate, Sorbic Acid, Cornmeal, Cellulose Gum, Xanthan Gum, Cornstarch, Soy Flour",120,10,1,0,10,1,bagel
Essential Everyday,"Cream Cheese Spread & Greek Nonfat Yogurt, Greek",,,60,35,4,2.5,7,2,tbsp
Horizon Organic,"Organic Yogurt, Whole Milk, Vanilla","Whole Milk, Vanilla","Organic Grade A Pasteurized Milk and Nonfat Milk, Organic Evaporated Cane Juice, Organic Vanilla Flavor, Fructan,NutraFlora, a Natural Dietary Fiber, Pectin, Live and Active Cultures: S Thermophilus, L Bulgaricus, L Acidophilus, L Casei, Bifidobacterium Longum",220,60,6,4,4,1,cup
365 Everyday Value,"Fat Free Milk, Vitamin A & D",,,90,0,0,0,8,1,cup
Bossa Nova,"Juice, Superfruit Acerola W/Mango",Superfruit Acerola W/Mango,"Acerola, Mango, and Orange Juices from Concentrate,Water, Juice Concentrates, Water, Mango Puree, Organic Agave Nectar, and Natural Flavors",110,0,0,0,4,240,mL
Tops,Light Cream,,,25,25,2.5,1.5,32,1,tbsp
ProBar,"Bar, Koka Moka",Koka Moka,"Oats,Organic Rolled Oats, Rolled Oats, Organic Peanut Butter, Organic Brown Rice Syrup, Organic Raisins, Organic Dates, Organic Raw Sunflower Seeds, Organic Raw Coconut, Grain Sweetened Dark Chocolate Chips,Whole Grain Malted Barley and Corn, Cocoa Powder, Soy Lecithin, Pure Natural Vanilla, Raw Cashews, Organic Rolled Rye, Raw Organic Brown Flax Seed, Raw Organic Brown Sesame Seed, Raw Almonds, Organic Evaporated Cane Juice, Pineapple, Papaya, Organic Evaporated Cane Juice, Pineapple, Papaya, Organic Soy Oil, Expeller Pressed Canola Oil, Cocoa Powder, Natural Coffee Flavor, Raw Brazil Nuts, Raw Pumpkin Seed, Organic Brown Crisp Rice,Organic Brown Rice Flour, Organic Molasses, Sea Salt, Corn Flakes,Milled Corn, Barley Malt Syrup, Oat Bran, Organic Oat Solids, Hemp Seed, Apples, Epazote Leaf, Organic Cardamom Seed, Organic Fennel Seed, Organic Fenugreek Seed, Organic Nutmeg, Natural Orange Oil, Natural Vitamin E All Natural Product May Contain Pit Pieces, Nutshells and Other Organic Matter Allergy Information: Product Contains Peanuts, Almonds, Cashews, Brazil Nuts, Soy",360,170,18,5,1,85,G
Butch's,"Pizza, White Garlic",,,300,170,19,6,2,0.5,pizza
7-Up,Soda,,"Filtered Carbonated Water, Sugar, Citric Acid, Potassium Citrate, Natural Flavors, Calcium Disodium EDTA,to Protect Flavor",140,0,0,0,6,1,bottle
Appetitos,Spicy Pickles in Pretzel Coating,,,210,110,13,1.5,3,7,pickles
Sprout Farmers Market,"Organic, Yellow Cling Sliced Peaches",,,50,0,0,0,3.5,0.5,cup
Oh Boy Oberto,"Beef Jerky, Teriyaki",Teriyaki,"Beef, Soy Sauce,Water, Salt, Soybean, Corn, Sugar, Glucose Syrup, Brown Sugar, Corn Syrup, Water, Wine, Flavorings, Salt, Natural Smoke Flavor, Sodium Nitrite",130,10,1,1,0,1,package
Hansen's,"Smoothie, Tropical Passion",,"Filtered Water, Apple, Pineapple, and Orange Juice Concentrates, High Fructose Corn Syrup, Passion Fruit Juice Concentrate, Banana and Guava Purees, Natural Fruit Flavors, Citric Acid, Natural Gums, Natural Colors, Vitamin C, White Grape Juice Concentrate, Vitamin E, Vitamin A",120,0,0,0,1.5,8,oz
jammin Nectars,Razz-Ade,,"Double Filtered Water, Raspberry Puree, Passion Fruit Puree, Evaporated Cane Juice, Lemon Juice Concentrate, Ascorbic Acid,Vitamin C, Citric Acid, Natural Flavor Extract, Natural Exotic Spices",89,0,0,0,1.5,6,fl oz
Hy-Vee,"Simmer Sauce, Butter Chicken",,,140,80,9,5,3,0.5,cup
Rainbow Acres Natural Food,Peanut Butter Powder,,,45,13,1.5,0,37,2,tbsp
Weight Watchers,Double Chocolate Muffin,Double Chocolate,"Enriched Wheat Flour,Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid, Sugar, Polydextrose, Invert Sugar, Whole Eggs, Glycerin, Egg Whites, Semi-Sweet Chocolate Chips,Sugar, Chocolate Liquor, Cocoa Butter, Dextrose, Soy Lecithin, Vanillin {Artificial Flavor}, Cocoa Processed with Alkali, Soybean Oil, Food Starch-Modified, Corn Syrup Solids, Leavening,Baking Soda, Sodium Aluminum Phosphate, Monocalcium Phosphate, Sodium Acid Pyrophosphate, Aluminum Sulfate, Water, Nonfat Dry Milk, Salt, Mono and Diglycerides, Dextrose, Dextrin, Soy Lecithin, Potassium Sorbate and Sodium Propionate,as Preservatives, Xanthan Gum, Natural and Artificial Flavor, Propylene Glycol Mono & Diesters of Fatty Acids, DATEM, Sodium Stearoyl Lactylate, Carnauba Wax, Corn Starch, Arabic Gum, Tricalcium Phosphate, Caramel Color, Citric Acid, Ascorbic Acid,as Dough Conditioner",160,25,3,1,0,1,muffin
Sun-Maid,Trail Mix Premium Cookies,,,120,50,6,0.5,3,29,g
Nature's Own,"Oatmeal Toasters, Cranberry Orange",Cranberry Orange,"Whole Wheat Flour, Water, Dried Cranberry Bits,Cranberries, Sugar, Sunflower Oil, Rolled Oats, Brown Sugar, Yeast, Sugar, Contains 2% Or Less of The Following",160,15,1,0,8,64,G
Vigo,Authentic Red Beans & Rice,,,190,0,1,0,3,0.33,cup dry
Rice Dream,Enrichie Vanille,,,140,22.5,2.5,0,0,1,cup
Welch's,"Fruit'n Yogurt Snacks, Blueberry",,,100,20,2,2,4,20,pieces
Eillien's,Assorted Lollies,,,30,0,0,0,56,1,pop
Eagle Brand,"Milk, Sweetened Condensed, Low Fat","Sweetened Condensed, Low Fat","Concentrated Whole Milk, Concentrated Nonfat Milk, Sugar, Vitamin A Palmitate",120,15,1,1,10,2,tbsp
