day;dteday;season;yr;mnth;holiday;weekday;workingday;weathersit;temp_celsius;windspeed_kh;atemp;hum;casual;registered;cnt
405;09/02/2012;1;1;2;0;4;1;1;10,865;13,000479;0,261988;56,2083;163;3667;3830
406;10/02/2012;1;1;2;0;5;1;2;11,514153;7,834243;0,293558;54;227;3604;3831
407;11/02/2012;1;1;2;0;6;0;3;9,190847;19,416332;0,210867;73,125;192;1977;2169
408;12/02/2012;1;1;2;0;0;0;1;5,2275;27,417204;0,101658;46,4583;73;1456;1529
409;13/02/2012;1;1;2;0;1;1;1;9,1225;11,207961;0,227913;41,125;94;3328;3422
410;14/02/2012;1;1;2;0;2;1;2;13,085847;9,458993;0,333946;50,875;135;3787;3922
411;15/02/2012;1;1;2;0;3;1;1;14,281653;12,1672;0,351629;53,125;141;4028;4169
412;16/02/2012;1;1;2;0;4;1;2;12,983347;6,125475;0,330162;75,2917;74;2931;3005
413;17/02/2012;1;1;2;0;5;1;1;14,076653;13,791682;0,351629;63,4583;349;3805;4154
414;18/02/2012;1;1;2;0;6;0;1;14,213347;12,792243;0,355425;53,4583;1435;2883;4318
415;19/02/2012;1;1;2;0;0;0;2;11,48;16,958504;0,265788;51,5833;618;2071;2689
416;20/02/2012;1;1;2;1;1;0;1;11,48;15,348561;0,273391;50,7826;502;2627;3129
417;21/02/2012;1;1;2;0;2;1;1;11,800866;13,783039;0,295113;59,4348;163;3614;3777
418;22/02/2012;1;1;2;0;3;1;1;16,229153;15,709557;0,392667;56,7917;394;4379;4773
419;23/02/2012;1;1;2;0;4;1;1;18,620847;12,791171;0,444446;55,4583;516;4546;5062
420;24/02/2012;1;1;2;0;5;1;2;16,7075;15,916989;0,410971;73,75;246;3241;3487
421;25/02/2012;1;1;2;0;6;0;1;11,924153;28,250014;0,255675;39,5833;317;2415;2732
422;26/02/2012;1;1;2;0;0;0;1;11,445847;13,750343;0,268308;41;515;2874;3389
423;27/02/2012;1;1;2;0;1;1;1;15,033347;17,958211;0,357954;49,0833;253;4069;4322
424;28/02/2012;1;1;2;0;2;1;1;14,725847;12,958939;0,353525;39,5833;229;4134;4363
425;29/02/2012;1;1;2;0;3;1;2;14,118268;12,000839;0,34847;80,4783;65;1769;1834
426;01/03/2012;1;1;3;0;4;1;1;19,919153;15,208129;0,475371;61,5417;325;4665;4990
427;02/03/2012;1;1;3;0;5;1;2;14,486653;9,708568;0,359842;65,7083;246;2948;3194
428;03/03/2012;1;1;3;0;6;0;2;16,980847;10,792293;0,413492;62,125;956;3110;4066
429;04/03/2012;1;1;3;0;0;0;1;13,359153;22,416257;0,303021;40,3333;710;2713;3423
430;05/03/2012;1;1;3;0;1;1;1;9,976653;15,333486;0,241171;50,625;203;3130;3333
431;06/03/2012;1;1;3;0;2;1;1;10,591653;13,458625;0,255042;45,6667;221;3735;3956
432;07/03/2012;1;1;3;0;3;1;1;16,570847;23,167193;0,3851;51,3333;432;4484;4916
433;08/03/2012;1;1;3;0;4;1;1;21,6275;29,584721;0,524604;56,75;486;4896;5382
434;09/03/2012;1;1;3;0;5;1;2;16,844153;27,7916;0,397083;40,7083;447;4122;4569
435;10/03/2012;1;1;3;0;6;0;1;11,7875;15,12525;0,277767;35,0417;968;3150;4118
436;11/03/2012;1;1;3;0;0;0;1;14,831299;14,913329;0,35967;47,6957;1658;3253;4911
437;12/03/2012;1;1;3;0;1;1;1;19,133347;13,916771;0,459592;48,9167;838;4460;5298
438;13/03/2012;1;1;3;0;2;1;1;23,165;15,87565;0,542929;61,75;762;5085;5847
439;14/03/2012;1;1;3;0;3;1;1;23,4725;7,709154;0,548617;50,7083;997;5315;6312
440;15/03/2012;1;1;3;0;4;1;1;22,8575;10,042161;0,532825;57,9583;1005;5187;6192
441;16/03/2012;1;1;3;0;5;1;2;17,869153;7,583864;0,436229;84,2083;548;3830;4378
442;17/03/2012;1;1;3;0;6;0;2;21,080847;7,417168;0,505046;75,5833;3155;4681;7836
443;18/03/2012;1;1;3;0;0;0;2;19,3725;8,501161;0,464;81;2207;3685;5892
444;19/03/2012;1;1;3;0;1;1;1;22,345;10,875239;0,532821;72,875;982;5171;6153
445;20/03/2012;1;1;3;0;2;1;1;22,994153;8,125157;0,538533;80,7917;1051;5042;6093
446;21/03/2012;2;1;3;0;3;1;2;21,798347;6,0004061;0,513258;82,125;1122;5108;6230
447;22/03/2012;2;1;3;0;4;1;1;22,720847;7,876654;0,531567;83,125;1334;5537;6871
448;23/03/2012;2;1;3;0;5;1;2;24,668347;7,7921;0,570067;69,4167;2469;5893;8362
449;24/03/2012;2;1;3;0;6;0;2;20,6025;12,916461;0,486733;88,5417;1033;2339;3372
450;25/03/2012;2;1;3;0;0;0;2;17,9375;14,791925;0,437488;88,0833;1532;3464;4996
451;26/03/2012;2;1;3;0;1;1;1;18,279153;25,917007;0,43875;47,7917;795;4763;5558
452;27/03/2012;2;1;3;0;2;1;1;13,256653;12,541864;0,315654;29;531;4571;5102
453;28/03/2012;2;1;3;0;3;1;1;19,850847;19,541957;0,47095;48,125;674;5024;5698
454;29/03/2012;2;1;3;0;4;1;1;20,260847;21,41655;0,482304;43,9167;834;5299;6133
455;30/03/2012;2;1;3;0;5;1;2;15,17;9,250489;0,375621;58,0833;796;4663;5459
456;31/03/2012;2;1;3;0;6;0;2;17,390847;16,791339;0,421708;73,8333;2301;3934;6235
457;01/04/2012;2;1;4;0;0;0;2;17,459153;11,541889;0,417287;67,625;2347;3694;6041
458;02/04/2012;2;1;4;0;1;1;1;17,790433;20,913313;0,427513;50,4348;1208;4728;5936
459;03/04/2012;2;1;4;0;2;1;1;19,133347;6,708911;0,461483;39,6667;1348;5424;6772
460;04/04/2012;2;1;4;0;3;1;1;22,208347;12,125325;0,53345;46,9583;1058;5378;6436
461;05/04/2012;2;1;4;0;4;1;1;17,835;14,708443;0,431163;37,4167;1192;5265;6457
462;06/04/2012;2;1;4;0;5;1;1;16,536653;20,125996;0,390767;37,7083;1807;4653;6460
463;07/04/2012;2;1;4;0;6;0;1;17,9375;18,416357;0,426129;25,4167;3252;3605;6857
464;08/04/2012;2;1;4;0;0;0;1;20,5;15,583932;0,492425;27,5833;2230;2939;5169
465;09/04/2012;2;1;4;0;1;1;1;20,055847;23,999132;0,476638;31,75;905;4680;5585
466;10/04/2012;2;1;4;0;2;1;1;18,313347;16,708125;0,436233;43,5;819;5099;5918
467;11/04/2012;2;1;4;0;3;1;1;14,296536;19,783358;0,337274;46,9565;482;4380;4862
468;12/04/2012;2;1;4;0;4;1;1;16,2975;19,458743;0,387604;46,625;663;4746;5409
469;13/04/2012;2;1;4;0;5;1;1;18,1425;10,416557;0,431808;40,8333;1252;5146;6398
470;14/04/2012;2;1;4;0;6;0;1;20,295;12,791439;0,487996;50,2917;2795;4665;7460
471;15/04/2012;2;1;4;0;0;0;1;24,873347;15,083643;0,573875;50,7917;2846;4286;7132
472;16/04/2012;2;1;4;1;1;0;1;27,230847;19,083543;0,614925;56,1667;1198;5172;6370
473;17/04/2012;2;1;4;0;2;1;1;24,941653;18,333143;0,598487;39,0417;989;5702;6691
474;18/04/2012;2;1;4;0;3;1;2;18,996653;11,250104;0,457038;56,9167;347;4020;4367
475;19/04/2012;2;1;4;0;4;1;1;20,431653;4,4172564;0,493046;61,25;846;5719;6565
476;20/04/2012;2;1;4;0;5;1;1;21,593347;10,041357;0,515775;69,4583;1340;5950;7290
477;21/04/2012;2;1;4;0;6;0;1;23,37;19,000329;0,542921;68,2917;2541;4083;6624
478;22/04/2012;2;1;4;0;0;0;3;16,263347;23,084582;0,389504;83,5417;120;907;1027
479;23/04/2012;2;1;4;0;1;1;2;13,188347;20,334232;0,301125;76,6667;195;3019;3214
480;24/04/2012;2;1;4;0;2;1;1;16,946653;16,708661;0,405283;45,4167;518;5115;5633
481;25/04/2012;2;1;4;0;3;1;1;19,543347;7,959064;0,470317;42,7917;655;5541;6196
482;26/04/2012;2;1;4;0;4;1;2;20,431653;11,833875;0,483583;75,6667;475;4551;5026
483;27/04/2012;2;1;4;0;5;1;1;18,7575;23,291411;0,452637;40,0833;1014;5219;6233
484;28/04/2012;2;1;4;0;6;0;2;15,443347;8,708325;0,377504;48,9583;1120;3100;4220
485;29/04/2012;2;1;4;0;0;0;1;18,791653;7,832836;0,450121;58,7083;2229;4075;6304
486;30/04/2012;2;1;4;0;1;1;2;19,030847;11,499746;0,457696;57;665;4907;5572
487;01/05/2012;2;1;5;0;2;1;2;25,146653;10,458432;0,577021;65,9583;653;5087;5740
488;02/05/2012;2;1;5;0;3;1;1;23,130847;9,249886;0,537896;79,7083;667;5502;6169
489;03/05/2012;2;1;5;0;4;1;2;22,96;8,957632;0,537242;76,8333;764;5657;6421
490;04/05/2012;2;1;5;0;5;1;1;25,7275;10,916846;0,590917;73,5417;1069;5227;6296
491;05/05/2012;2;1;5;0;6;0;2;25,488347;10,250464;0,584608;75,6667;2496;4387;6883
492;06/05/2012;2;1;5;0;0;0;2;23,0625;10,041893;0,546737;74;2135;4224;6359
493;07/05/2012;2;1;5;0;1;1;2;22,0375;15,458307;0,527142;66,4167;1008;5265;6273
494;08/05/2012;2;1;5;0;2;1;2;23,848347;19,833943;0,557471;68,5833;738;4990;5728
495;09/05/2012;2;1;5;0;3;1;2;23,575;14,499604;0,553025;74,4167;620;4097;4717
496;10/05/2012;2;1;5;0;4;1;1;20,739153;21,042221;0,491783;55,2083;1026;5546;6572
497;11/05/2012;2;1;5;0;5;1;1;21,866653;15,874779;0,520833;36,0417;1319;5711;7030
498;12/05/2012;2;1;5;0;6;0;1;23,130847;8,249911;0,544817;48,0417;2622;4807;7429
499;13/05/2012;2;1;5;0;0;0;1;25,1125;15,082839;0,585238;57,625;2172;3946;6118
500;14/05/2012;2;1;5;0;1;1;2;23,506653;14,250364;0,5499;78,9583;342;2501;2843
501;15/05/2012;2;1;5;0;2;1;2;25,078347;9,875264;0,576404;79,4583;625;4490;5115
502;16/05/2012;2;1;5;0;3;1;1;26,103347;8,208304;0,595975;69,7917;991;6433;7424
503;17/05/2012;2;1;5;0;4;1;1;24,326653;15,374825;0,572613;52;1242;6142;7384
504;18/05/2012;2;1;5;0;5;1;1;23,130847;9,166739;0,551121;52,3333;1521;6118;7639
505;19/05/2012;2;1;5;0;6;0;1;24,6;5,626325;0,566908;45,625;3410;4884;8294
506;20/05/2012;2;1;5;0;0;0;1;25,454153;17,042589;0,583967;53,0417;2704;4425;7129
507;21/05/2012;2;1;5;0;1;1;2;24,531653;15,624668;0,565667;81,125;630;3729;4359
508;22/05/2012;2;1;5;0;2;1;2;25,215;7,917189;0,580825;76,5833;819;5254;6073
509;23/05/2012;2;1;5;0;3;1;2;25,488347;6,834;0,584612;77,4583;766;4494;5260
510;24/05/2012;2;1;5;0;4;1;1;26,855;11,584032;0,6067;71,6667;1059;5711;6770
511;25/05/2012;2;1;5;0;5;1;1;27,88;9,41685;0,627529;74,7083;1417;5317;6734
512;26/05/2012;2;1;5;0;6;0;1;28,3925;13,332464;0,642696;73,25;2855;3681;6536
513;27/05/2012;2;1;5;0;0;0;1;28,29;14,416457;0,641425;69,7083;3283;3308;6591
514;28/05/2012;2;1;5;1;1;0;1;29,2125;13,166907;0,6793;67,625;2557;3486;6043
515;29/05/2012;2;1;5;0;2;1;1;29,6225;19,7918;0,672992;68,4583;880;4863;5743
516;30/05/2012;2;1;5;0;3;1;2;26,923347;9,000043;0,611129;67;745;6110;6855
517;31/05/2012;2;1;5;0;4;1;1;27,88;13,083693;0,631329;49,2917;1100;6238;7338
518;01/06/2012;2;1;6;0;5;1;2;26,820847;15,916721;0,607962;75,5417;533;3594;4127
519;02/06/2012;2;1;6;0;6;0;1;23,916653;12,499654;0,566288;54,9167;2795;5325;8120
520;03/06/2012;2;1;6;0;0;0;1;24,7025;12,333829;0,575133;49,3333;2494;5147;7641
521;04/06/2012;2;1;6;0;1;1;1;24,4975;19,083811;0,578283;48,7083;1071;5927;6998
522;05/06/2012;2;1;6;0;2;1;2;22,174153;14,041525;0,525892;61,3333;968;6033;7001
523;06/06/2012;2;1;6;0;3;1;1;22,720847;5,167375;0,542292;61,125;1027;6028;7055
524;07/06/2012;2;1;6;0;4;1;1;24,7025;10,54245;0,569442;56,7083;1038;6456;7494
525;08/06/2012;2;1;6;0;5;1;1;26,615847;11,750661;0,597862;46,7917;1488;6248;7736
526;09/06/2012;2;1;6;0;6;0;1;29,144153;9,667229;0,648367;43,7083;2708;4790;7498
527;10/06/2012;2;1;6;0;0;0;1;29,793347;8,959307;0,663517;53,8333;2224;4374;6598
528;11/06/2012;2;1;6;0;1;1;2;29,554153;13,916771;0,659721;58,7917;1017;5647;6664
529;12/06/2012;2;1;6;0;2;1;2;26,786653;14,374582;0,597875;83,3333;477;4495;4972
530;13/06/2012;2;1;6;0;3;1;1;26,889153;22,999693;0,611117;58,2083;1173;6248;7421
531;14/06/2012;2;1;6;0;4;1;1;26,581653;17,000111;0,624383;56,9583;1180;6183;7363
532;15/06/2012;2;1;6;0;5;1;1;26,205847;11,833339;0,599754;58,9583;1563;6102;7665
533;16/06/2012;2;1;6;0;6;0;1;25,898347;11,166689;0,594708;50,4167;2963;4739;7702
534;17/06/2012;2;1;6;0;0;0;1;24,2925;9,708568;0,571975;59,875;2634;4344;6978
535;18/06/2012;2;1;6;0;1;1;2;23,301653;11,707982;0,544842;77,7917;653;4446;5099
536;19/06/2012;2;1;6;0;2;1;1;28,221653;9,917139;0,654692;69;968;5857;6825
537;20/06/2012;2;1;6;0;3;1;1;32,0825;7,625404;0,720975;59,2083;872;5339;6211
538;21/06/2012;3;1;6;0;4;1;1;33,039153;7,958729;0,752542;56,7917;778;5127;5905
539;22/06/2012;3;1;6;0;5;1;1;31,8775;12,250414;0,724121;57,375;964;4859;5823
540;23/06/2012;3;1;6;0;6;0;1;29,998347;12,041307;0,652792;53,4583;2657;4801;7458
541;24/06/2012;3;1;6;0;0;0;1;30,476653;9,750175;0,674254;47,9167;2551;4340;6891
542;25/06/2012;3;1;6;0;1;1;1;29,349153;20,125661;0,654042;50,4167;1139;5640;6779
543;26/06/2012;3;1;6;0;2;1;1;25,864153;23,292014;0,594704;37,3333;1077;6365;7442
544;27/06/2012;3;1;6;0;3;1;1;28,5975;18,208925;0,640792;36;1077;6258;7335
545;28/06/2012;3;1;6;0;4;1;1;30,715847;11,50055;0,675512;42,25;921;5958;6879
546;29/06/2012;3;1;6;0;5;1;1;34,200847;11,082939;0,786613;48,875;829;4634;5463
547;30/06/2012;3;1;6;0;6;0;1;31,365;10,791757;0,687508;60,125;1455;4232;5687
548;01/07/2012;3;1;7;0;0;0;1;33,449153;11,291443;0,750629;51,875;1421;4110;5531
549;02/07/2012;3;1;7;0;1;1;1;32,048347;13,082889;0,702038;44,7083;904;5323;6227
550;03/07/2012;3;1;7;0;2;1;1;32,014153;8,457879;0,70265;49,2083;1052;5608;6660
551;04/07/2012;3;1;7;1;3;0;1;32,355847;9,04165;0,732337;53,875;2562;4841;7403
552;05/07/2012;3;1;7;0;4;1;1;33,9275;12,999943;0,761367;45,7917;1405;4836;6241
553;06/07/2012;3;1;7;0;5;1;1;33,961653;9,791514;0,752533;45,0833;1366;4841;6207
554;07/07/2012;3;1;7;0;6;0;1;35,328347;10,958118;0,804913;49,2083;1448;3392;4840
555;08/07/2012;3;1;7;0;0;0;1;33,7225;8,417143;0,790396;57,375;1203;3469;4672
556;09/07/2012;3;1;7;0;1;1;2;29,144153;12,125325;0,654054;68,3333;998;5571;6569
557;10/07/2012;3;1;7;0;2;1;2;29,554153;10,166379;0,664796;66,75;954;5336;6290
558;11/07/2012;3;1;7;0;3;1;1;29,383347;10,166111;0,650271;63,3333;975;6289;7264
559;12/07/2012;3;1;7;0;4;1;1;29,349153;9,833925;0,654683;52,9583;1032;6414;7446
560;13/07/2012;3;1;7;0;5;1;2;29,998347;5,41695;0,667933;48,5833;1511;5988;7499
561;14/07/2012;3;1;7;0;6;0;2;28,836653;9,626493;0,666042;69,9167;2355;4614;6969
562;15/07/2012;3;1;7;0;0;0;1;30,579153;11,166689;0,705196;71,7917;1920;4111;6031
563;16/07/2012;3;1;7;0;1;1;1;31,296653;11,000529;0,724125;64,5;1088;5742;6830
564;17/07/2012;3;1;7;0;2;1;1;33,551653;7,666743;0,755683;50,5833;921;5865;6786
565;18/07/2012;3;1;7;0;3;1;1;32,526653;9,208614;0,745583;57,7083;799;4914;5713
566;19/07/2012;3;1;7;0;4;1;1;31,57;11,083743;0,714642;60,0417;888;5703;6591
567;20/07/2012;3;1;7;0;5;1;2;27,299153;14,000789;0,613025;84,4167;747;5123;5870
568;21/07/2012;3;1;7;0;6;0;3;24,429153;14,2911;0,549912;86,5417;1264;3195;4459
569;22/07/2012;3;1;7;0;0;0;2;27,3675;6,2926936;0,623125;76,25;2544;4866;7410
570;23/07/2012;3;1;7;0;1;1;1;30,408347;9,291761;0,690017;69,4167;1135;5831;6966
571;24/07/2012;3;1;7;0;2;1;1;30,784153;14,167418;0,70645;65,5;1140;6452;7592
572;25/07/2012;3;1;7;0;3;1;1;29,690847;11,0416;0,654054;45;1383;6790;8173
573;26/07/2012;3;1;7;0;4;1;1;31,843347;19,082471;0,739263;59,6667;1036;5825;6861
574;27/07/2012;3;1;7;0;5;1;1;32,048347;10,250464;0,734217;59,4583;1259;5645;6904
575;28/07/2012;3;1;7;0;6;0;1;30,989153;10,54245;0,697604;61,3333;2234;4451;6685
576;29/07/2012;3;1;7;0;0;0;1;29,588347;11,416532;0,667933;62,375;2153;4444;6597
577;30/07/2012;3;1;7;0;1;1;1;29,964153;10,292339;0,684987;66,875;1040;6065;7105
578;31/07/2012;3;1;7;0;2;1;1;29,246653;11,083475;0,662896;70,4167;968;6248;7216
579;01/08/2012;3;1;8;0;3;1;1;29,4175;9,458993;0,667308;67,75;1074;6506;7580
580;02/08/2012;3;1;8;0;4;1;1;30,8525;8,666718;0,707088;65,9583;983;6278;7261
581;03/08/2012;3;1;8;0;5;1;2;31,399153;14,458064;0,722867;64,25;1328;5847;7175
582;04/08/2012;3;1;8;0;6;0;1;32,526653;17,249686;0,751267;61,3333;2345;4479;6824
583;05/08/2012;3;1;8;0;0;0;1;31,535847;19,458207;0,731079;65,25;1707;3757;5464
584;06/08/2012;3;1;8;0;1;1;2;30,8525;8,666718;0,710246;65,4167;1233;5780;7013
585;07/08/2012;3;1;8;0;2;1;2;30,169153;7,832836;0,697621;70,375;1278;5995;7273
586;08/08/2012;3;1;8;0;3;1;2;30,75;7,4169;0,707717;67,2917;1263;6271;7534
587;09/08/2012;3;1;8;0;4;1;1;30,989153;10,4587;0,699508;62,0417;1196;6090;7286
588;10/08/2012;3;1;8;0;5;1;2;29,349153;16,000471;0,667942;71,5833;1065;4721;5786
589;11/08/2012;3;1;8;0;6;0;2;28,3925;13,834093;0,638267;73,2917;2247;4052;6299
590;12/08/2012;3;1;8;0;0;0;1;28,734153;8,208304;0,644579;53,0417;2182;4362;6544
591;13/08/2012;3;1;8;0;1;1;1;29,554153;9,126204;0,662254;54,5417;1207;5676;6883
592;14/08/2012;3;1;8;0;2;1;1;29,793347;11,333586;0,676779;68,6667;1128;5656;6784
593;15/08/2012;3;1;8;0;3;1;1;28,973347;11,374657;0,654037;61,9583;1198;6149;7347
594;16/08/2012;3;1;8;0;4;1;1;29,485847;9,500332;0,654688;51,9167;1338;6267;7605
595;17/08/2012;3;1;8;0;5;1;1;29,656653;15,500718;0,2424;57,0833;1483;5665;7148
596;18/08/2012;3;1;8;0;6;0;1;27,811653;11,917089;0,618071;60,3333;2827;5038;7865
597;19/08/2012;3;1;8;0;0;0;2;26,069153;5,79215;0,603554;71,1667;1208;3341;4549
598;20/08/2012;3;1;8;0;1;1;2;26,069153;8,708593;0,595967;73,4167;1026;5504;6530
599;21/08/2012;3;1;8;0;2;1;1;26,615847;4,8756436;0,601025;67,375;1081;5925;7006
600;22/08/2012;3;1;8;0;3;1;1;27,3675;4,7089811;0,621854;67,7083;1094;6281;7375
601;23/08/2012;3;1;8;0;4;1;1;28,529153;5,6679186;0,637008;63,5833;1363;6402;7765
602;24/08/2012;3;1;8;0;5;1;2;28,8025;4,8337686;0,6471;61,5;1325;6257;7582
603;25/08/2012;3;1;8;0;6;0;2;27,128347;16,375336;0,618696;71,2917;1829;4224;6053
604;26/08/2012;3;1;8;0;0;0;2;26,786653;15,333486;0,595996;84,5833;1483;3772;5255
605;27/08/2012;3;1;8;0;1;1;1;28,836653;8,625111;0,654688;73,0417;989;5928;6917
606;28/08/2012;3;1;8;0;2;1;1;29,861653;12,791975;0,66605;62;935;6105;7040
607;29/08/2012;3;1;8;0;3;1;1;28,085;7,541654;0,635733;55,2083;1177;6520;7697
608;30/08/2012;3;1;8;0;4;1;1;28,973347;5,1668189;0,652779;59,0417;1172;6541;7713
609;31/08/2012;3;1;8;0;5;1;1;31,330847;11,291711;0,6894;58,75;1433;5917;7350
610;01/09/2012;3;1;9;0;6;0;2;30,886653;7,583529;0,702654;63,8333;2352;3788;6140
611;02/09/2012;3;1;9;0;0;0;2;28,563347;4,2927436;0,649;81,5;2613;3197;5810
612;03/09/2012;3;1;9;1;1;0;1;29,0075;10,125107;0,661629;79,0833;1965;4069;6034
613;04/09/2012;3;1;9;0;2;1;1;29,759153;15,833507;0,686888;75,5;867;5997;6864
614;05/09/2012;3;1;9;0;3;1;1;30,203347;12,583136;0,708983;74,125;832;6280;7112
615;06/09/2012;3;1;9;0;4;1;2;28,563347;9,542207;0,655329;81,0417;611;5592;6203
616;07/09/2012;3;1;9;0;5;1;1;28,836653;11,500282;0,657204;73,625;1045;6459;7504
617;08/09/2012;3;1;9;0;6;0;2;27,025847;18,833968;0,611121;79,9167;1557;4419;5976
618;09/09/2012;3;1;9;0;0;0;1;25,01;15,041232;0,578925;54,75;2570;5657;8227
619;10/09/2012;3;1;9;0;1;1;1;23,916653;17,333771;0,565654;50,375;1118;6407;7525
620;11/09/2012;3;1;9;0;2;1;1;23,6775;6,1676314;0,554292;52;1070;6697;7767
621;12/09/2012;3;1;9;0;3;1;1;24,565847;8,833682;0,570075;57,7083;1050;6820;7870
622;13/09/2012;3;1;9;0;4;1;1;25,1125;5,5422936;0,579558;63,7083;1054;6750;7804
623;14/09/2012;3;1;9;0;5;1;1;25,966653;6,958821;0,594083;67,25;1379;6630;8009
624;15/09/2012;3;1;9;0;6;0;1;24,941653;16,583907;0,585867;50,1667;3160;5554;8714
625;16/09/2012;3;1;9;0;0;0;1;23,78;6,0422811;0,563125;57;2166;5167;7333
626;17/09/2012;3;1;9;0;1;1;2;23,814153;10,166714;0,55305;73,4583;1022;5847;6869
627;18/09/2012;3;1;9;0;2;1;2;25,556653;23,958329;0,565067;87,25;371;3702;4073
628;19/09/2012;3;1;9;0;3;1;1;22,6525;14,416725;0,540404;53,6667;788;6803;7591
629;20/09/2012;3;1;9;0;4;1;1;22,413347;7,917189;0,532192;61,8333;939;6781;7720
630;21/09/2012;3;1;9;0;5;1;1;24,565847;10,333343;0,571971;66,875;1250;6917;8167
631;22/09/2012;3;1;9;0;6;0;1;26,65;19,000061;0,610488;64,6667;2512;5883;8395
632;23/09/2012;4;1;9;0;0;0;1;21,695847;14,958286;0,518933;46,7083;2454;5453;7907
633;24/09/2012;4;1;9;0;1;1;1;21,080847;9,541068;0,502513;49,2917;1001;6435;7436
634;25/09/2012;4;1;9;0;2;1;1;22,55;15,833507;0,544179;57;845;6693;7538
635;26/09/2012;4;1;9;0;3;1;1;26,035;16,3748;0,596613;63,0833;787;6946;7733
636;27/09/2012;4;1;9;0;4;1;2;26,65;9,000914;0,607975;69,0833;751;6642;7393
637;28/09/2012;4;1;9;0;5;1;2;25,385847;10,999993;0,585863;69;1045;6370;7415
