day;dteday;weathersit;temp_celsius;windspeed_kh;atemp;hum
135;15/05/2011;2;23,0625;10,249593;0,536;86,7083
136;16/05/2011;1;23,6775;8,500357;0,550512;78,7917
137;17/05/2011;2;23,028347;18,582718;0,538529;83,7917
138;18/05/2011;2;22,55;13,499964;0,527158;87
139;19/05/2011;2;21,764153;7,250271;0,510742;82,9583
140;20/05/2011;1;22,003347;8,375871;0,529042;71,9583
141;21/05/2011;1;24,7025;8,08355;0,571975;62,6667
142;22/05/2011;1;24,770847;9,916536;0,5745;74,9583
143;23/05/2011;2;25,898347;15,667414;0,590296;81
144;24/05/2011;2;27,06;13,875164;0,604813;74,0833
145;25/05/2011;1;27,094153;10,333611;0,615542;69,625
146;26/05/2011;1;29,041653;13,376014;0,654688;67,75
147;27/05/2011;1;27,948347;16,125493;0,637008;65,375
148;28/05/2011;1;26,889153;15,416164;0,612379;72,9583
149;29/05/2011;1;27,3675;14,333846;0,61555;81,875
150;30/05/2011;1;30,066653;8,792075;0,671092;68,5
151;31/05/2011;1;31,775;7,459043;0,725383;63,6667
152;01/06/2011;2;31,330847;13,875164;0,720967;67,7083
153;02/06/2011;1;29,315;19,583229;0,643942;30,5
154;03/06/2011;1;25,42;16,959107;0,587133;35,4167
155;04/06/2011;1;26,035;8,250514;0,594696;45,625
156;05/06/2011;2;26,581653;9,292364;0,616804;65,25
157;06/06/2011;1;27,811653;8,167032;0,621858;60
158;07/06/2011;1;29,0075;12,583136;0,65595;59,7917
159;08/06/2011;1;31,809153;9,166739;0,727279;62,2083
160;09/06/2011;2;33,141653;10,042161;0,757579;56,8333
161;10/06/2011;1;30,955;9,417118;0,703292;60,5
162;11/06/2011;1;29,725;10,37495;0,678038;65,4583
163;12/06/2011;1;28,3925;10,958989;0,643325;74,7917
164;13/06/2011;1;26,035;20,45845;0,601654;49,4583
165;14/06/2011;1;24,770847;18,041961;0,591546;50,7083
166;15/06/2011;1;25,693347;11,250104;0,587754;47,1667
167;16/06/2011;2;25,761653;13,833557;0,595346;68,8333
168;17/06/2011;1;26,615847;9,582943;0,600383;73,5833
169;18/06/2011;1;28,563347;8,000336;0,643954;67,0417
170;19/06/2011;2;28,665847;6,834;0,645846;66,6667
171;20/06/2011;2;26,035;10,416825;0,595346;74,625
172;21/06/2011;2;27,914153;11,458675;0,637646;77,0417
173;22/06/2011;1;30,066653;11,541554;0,693829;70,75
174;23/06/2011;2;29,861653;15,999868;0,693833;70,3333
175;24/06/2011;1;29,690847;14,875675;0,656583;57,3333
176;25/06/2011;1;28,495;14,041257;0,643313;48,3333
177;26/06/2011;1;27,88;6,3337311;0,637629;51,3333
178;27/06/2011;2;27,9825;7,208396;0,637004;65,8333
179;28/06/2011;1;30,510847;9,666961;0,692558;63,4167
180;29/06/2011;1;29,861653;17,542007;0,654688;49,7917
181;30/06/2011;1;28,563347;12,415904;0,637008;43,4167
182;01/07/2011;1;29,6225;6,874736;0,652162;39,625
183;02/07/2011;1;30,271653;7,709154;0,667308;44,4583
184;03/07/2011;2;29,383347;15,333486;0,668575;68,25
185;04/07/2011;2;29,793347;5,4591064;0,665417;63,7917
186;05/07/2011;1;30,613347;8,459286;0,696338;59,0417
187;06/07/2011;1;29,52;10,042161;0,685633;74,3333
188;07/07/2011;1;30,75;10,6664;0,686871;65,125
189;08/07/2011;2;29,075847;15,083643;0,670483;75,7917
190;09/07/2011;1;30,066653;11,250104;0,664158;60,9167
191;10/07/2011;1;30,6475;12,292557;0,690025;57,8333
192;11/07/2011;1;31,2625;18,916579;0,729804;63,5833
193;12/07/2011;1;32,560847;13,417018;0,739275;55,9167
194;13/07/2011;1;30,613347;9,790911;0,689404;63,1667
195;14/07/2011;1;27,914153;16,124689;0,635104;47,625
196;15/07/2011;1;27,196653;12,249811;0,624371;59,125
197;16/07/2011;1;28,153347;13,958914;0,638263;58,5
198;17/07/2011;1;29,485847;16,417211;0,669833;60,4167
199;18/07/2011;1;30,613347;14,458868;0,703925;65,125
200;19/07/2011;1;31,843347;8,7502;0,747479;65,0417
201;20/07/2011;1;31,501653;7,625739;0,74685;70,7083
202;21/07/2011;2;33,415;14,875407;0,826371;69,125
203;22/07/2011;1;34,781653;8,9177;0,840896;58,0417
204;23/07/2011;1;34,815847;8,791807;0,804287;50
205;24/07/2011;1;34,03;11,334457;0,794829;55,0833
206;25/07/2011;1;30,476653;6,0841561;0,720958;75,7083
207;26/07/2011;1;31,638347;13,417286;0,696979;54,0833
208;27/07/2011;1;31,775;12,292021;0,690667;40,2917
209;28/07/2011;1;31,945847;11,958093;0,7399;58,3333
210;29/07/2011;1;34,371653;11,667246;0,785967;54,25
211;30/07/2011;1;32,970847;11,291979;0,728537;46,5833
212;31/07/2011;1;33,039153;11,042471;0,729796;48,0833
213;01/08/2011;1;31,638347;10,500039;0,703292;55,0833
214;02/08/2011;1;32,116653;13,79195;0,707071;49,125
215;03/08/2011;2;29,998347;9,084061;0,679937;65,75
216;04/08/2011;2;29,11;13,20905;0,664788;75,75
217;05/08/2011;1;29,144153;12,374632;0,656567;63,0833
218;06/08/2011;2;29,383347;15,29275;0,676154;75,5
219;07/08/2011;1;30,4425;13,499629;0,715292;75,2917
220;08/08/2011;1;31,365;12,875725;0,703283;59,2083
221;09/08/2011;1;31,775;10,125107;0,724121;57,0417
222;10/08/2011;1;31,433347;13,417286;0,684983;42,4167
223;11/08/2011;1;29,4175;11,041332;0,651521;42,375
224;12/08/2011;1;29,041653;8,416607;0,654042;41,5
225;13/08/2011;2;28,119153;14,167418;0,645858;72,9583
226;14/08/2011;2;27,743347;14,916411;0,624388;81,75
227;15/08/2011;1;27,299153;13,999918;0,616167;71,2083
228;16/08/2011;1;28,734153;15,834043;0,645837;57,8333
229;17/08/2011;1;29,656653;9,625689;0,666671;57,5417
230;18/08/2011;1;29,178347;15,624936;0,662258;65,4583
231;19/08/2011;2;28,085;9,333636;0,633221;72,2917
232;20/08/2011;1;28,5975;6,999289;0,648996;67,4167
233;21/08/2011;1;29,144153;16,666518;0,675525;77
234;22/08/2011;1;28,358347;18,54225;0,638254;47
235;23/08/2011;1;26,274153;9,833121;0,606067;45,5417
236;24/08/2011;1;27,606653;16,958236;0,630692;60,5
237;25/08/2011;2;28,050847;14,125811;0,645854;77,1667
238;26/08/2011;1;28,7;5,6254875;0,659733;76,125
239;27/08/2011;2;27,88;25,166339;0,635556;85
240;28/08/2011;1;28,989419;20,412153;0,647959;56,1765
241;29/08/2011;1;26,103347;10,708275;0,607958;55,4583
242;30/08/2011;1;26,205847;8,375536;0,594704;54,8333
243;31/08/2011;1;26,923347;5,5833311;0,611121;59,7917
244;01/09/2011;1;26,855;9,500332;0,614921;63,9167
245;02/09/2011;2;26,376653;9,375243;0,604808;72,7083
246;03/09/2011;1;27,435847;12,416775;0,633213;71,6667
247;04/09/2011;1;29,075847;13,833289;0,665429;74,2083
248;05/09/2011;2;27,606653;14,250632;0,625646;79,0417
249;06/09/2011;3;22,14;23,044181;0,5152;88,6957
250;07/09/2011;3;24,565847;6,5003936;0,544229;91,7083
251;08/09/2011;3;25,990433;12,914116;0,555361;93,9565
252;09/09/2011;2;26,65;8,333393;0,578946;89,7917
253;10/09/2011;1;27,06;10,291736;0,607962;75,375
254;11/09/2011;1;26,786653;7,708618;0,609229;71,375
255;12/09/2011;1;26,418268;5,957171;0,60213;69,2174
256;13/09/2011;1;26,684153;9,500868;0,603554;71,25
257;14/09/2011;1;27,606653;11,2091;0,6269;69,7083
258;15/09/2011;2;23,6775;18,166782;0,553671;70,9167
259;16/09/2011;2;19,235847;11,000261;0,461475;59,0417
260;17/09/2011;2;20,158347;12,708225;0,478512;71,8333
261;18/09/2011;1;20,8075;11,958361;0,490537;69,5
262;19/09/2011;2;22,515847;10,166714;0,529675;69
263;20/09/2011;2;23,028347;9,041918;0,532217;88,125
264;21/09/2011;2;24,395;6,4590814;0,550533;90
265;22/09/2011;2;25,761653;8,584375;0,554963;90,2083
266;23/09/2011;2;24,975847;5,2505689;0,522125;97,25
267;24/09/2011;2;24,873347;5,2516811;0,564412;86,25
268;25/09/2011;2;26,000847;3,3754064;0,572637;84,5
269;26/09/2011;2;26,615847;7,4169;0,589042;84,8333
270;27/09/2011;2;26,103347;7,917457;0,574525;88,5417
271;28/09/2011;2;26,035;9,958143;0,575158;84,875
272;29/09/2011;1;25,283347;11,583161;0,574512;69,9167
273;30/09/2011;1;23,130847;13,833825;0,544829;64,75
274;01/10/2011;2;16,81;19,583832;0,412863;75,375
275;02/10/2011;2;14,623347;14,874871;0,345317;79,1667
276;03/10/2011;2;15,750847;5,5841686;0,392046;76,0833
277;04/10/2011;1;19,850847;13,792218;0,472858;71
278;05/10/2011;1;22,071653;11,87575;0,527138;64,7917
279;06/10/2011;1;20,260847;9,041918;0,480425;62,0833
280;07/10/2011;1;20,944153;1,5002439;0,504404;68,4167
281;08/10/2011;1;21,388347;3,0420814;0,513242;70,125
282;09/10/2011;1;22,174153;4,25115;0,523983;72,75
283;10/10/2011;1;23,404153;2,8343814;0,542925;73,375
284;11/10/2011;2;23,233347;9,583814;0,546096;80,875
285;12/10/2011;3;22,276653;16,62605;0,517717;90,625
286;13/10/2011;2;24,155847;9,499729;0,551804;89,6667
287;14/10/2011;2;22,584153;15,000161;0,529675;71,625
288;15/10/2011;1;20,773347;17,291561;0,498725;48,3333
289;16/10/2011;1;20,978347;18,875039;0,503154;48,6667
290;17/10/2011;1;21,900847;11,750393;0,510725;57,9583
291;18/10/2011;2;21,8325;7,375829;0,522721;70,1667
292;19/10/2011;3;22,211299;16,303713;0,513848;89,5217
293;20/10/2011;1;19,509153;28,292425;0,466525;63,625
294;21/10/2011;1;17,5275;14,833532;0,423596;57,4167
295;22/10/2011;1;17,3225;6,2086689;0,425492;62,9167
296;23/10/2011;1;17,288347;6,6673375;0,422333;74,125
297;24/10/2011;1;18,996653;7,959064;0,457067;77,2083
298;25/10/2011;1;19,338347;11,166086;0,463375;62,2917
299;26/10/2011;2;19,850847;9,959014;0,472846;72,0417
300;27/10/2011;2;19,27;13,250121;0,457046;81,2917
301;28/10/2011;2;13,564153;15,375093;0,318812;58,5833
302;29/10/2011;3;10,420847;23,541857;0,227913;88,25
303;30/10/2011;1;13,085847;11,833339;0,321329;62,375
304;31/10/2011;1;13,94;7,12545;0,356063;70,3333
305;01/11/2011;1;16,434153;9,083257;0,397088;68,375
306;02/11/2011;1;15,4775;5,5001439;0,390133;71,875
307;03/11/2011;1;16,741653;9,166739;0,405921;70,2083
308;04/11/2011;2;16,536653;18,209193;0,403392;62,25
309;05/11/2011;1;13,393347;12,667154;0,323854;51,9167
310;06/11/2011;1;14,281653;6,1676314;0,362358;73,4583
311;07/11/2011;1;16,195;3,834075;0,400871;75,875
312;08/11/2011;1;16,741653;4,6255125;0,412246;72,1667
313;09/11/2011;1;16,4;4,1671186;0,409079;75,8333
314;10/11/2011;2;15,58;12,667489;0,373721;81,3333
315;11/11/2011;1;13,290847;21,083225;0,306817;44,625
316;12/11/2011;1;14,623347;14,208154;0,357942;55,2917
317;13/11/2011;1;18,074153;18,875307;0,43055;45,8333
318;14/11/2011;1;21,73;20,541932;0,524612;58,7083
319;15/11/2011;2;21,73;13,375411;0,507579;68,875
320;16/11/2011;3;18,723347;9,167543;0,451988;93
321;17/11/2011;2;14,008347;20,459254;0,323221;57,5833
322;18/11/2011;1;11,240847;11,291711;0,272721;41
323;19/11/2011;1;13,495847;15,041232;0,324483;50,2083
324;20/11/2011;2;18,996653;12,45865;0,457058;68,4583
325;21/11/2011;3;18,3475;9,249618;0,445062;91
326;22/11/2011;3;17,083347;7,959064;0,421696;96,25
327;23/11/2011;2;18,074153;22,500275;0,430537;75,7917
328;24/11/2011;1;15,306653;11,209368;0,372471;54,9167
329;25/11/2011;1;15,375;6,6260186;0,380671;64,375
330;26/11/2011;1;15,409153;4,5841936;0,385087;68,1667
331;27/11/2011;1;18,825847;13,999918;0,4558;69,8333
332;28/11/2011;1;20,642598;9,522174;0,490122;74,3043
333;29/11/2011;2;18,791653;17,292164;0,451375;83,0833
334;30/11/2011;1;13,325;18,167586;0,311221;61,3333
335;01/12/2011;1;12,8125;14,750586;0,305554;52,4583
336;02/12/2011;1;12,880847;6,750518;0,331433;62,5833
337;03/12/2011;1;12,265847;6,4174811;0,310604;61,2917
338;04/12/2011;1;13,564153;5,6252061;0,3491;77,5833
339;05/12/2011;2;15,819153;4,1679561;0,393925;82,7083
340;06/12/2011;3;18,9625;15,583061;0,4564;94,9583
341;07/12/2011;3;16,81;17,833725;0,400246;97,0417
342;08/12/2011;1;10,899153;16,083886;0,256938;58
343;09/12/2011;1;11,924153;5,5420189;0,317542;69,5833
344;10/12/2011;1;11,275;15,625807;0,266412;50,75
345;11/12/2011;1;9,054153;4,4582939;0,253154;49
346;12/12/2011;1;9,771653;4,25115;0,270196;67,0833
347;13/12/2011;1;11,5825;9,41685;0,301138;59
348;14/12/2011;2;13,0175;4,0842061;0,338362;66,375
349;15/12/2011;2;17,3225;17,958814;0,412237;63,4167
350;16/12/2011;2;15,375;17,458525;0,359825;50,0417
351;17/12/2011;2;10,591653;16,292189;0,249371;56,0833
352;18/12/2011;1;9,771653;11,375193;0,245579;58,625
353;19/12/2011;1;11,343347;11,584032;0,280933;63,75
354;20/12/2011;2;15,819153;4,1252436;0,396454;59,5417
355;21/12/2011;2;17,561653;14,8338;0,428017;85,8333
356;22/12/2011;2;17,356653;3,167425;0,426121;75,75
357;23/12/2011;1;15,306653;18,374482;0,377513;68,625
358;24/12/2011;1;12,4025;12,750368;0,299242;54,25
359;25/12/2011;1;11,266103;10,391097;0,279961;68,1304
360;26/12/2011;1;13,191299;16,044155;0,315535;50,6957
361;27/12/2011;2;13,325;12,62615;0,327633;76,25
362;28/12/2011;1;12,26433;19,695387;0,279974;50,3913
363;29/12/2011;1;10,181653;8,000604;0,263892;57,4167
364;30/12/2011;1;12,778347;9,000579;0,318812;63,6667
365;31/12/2011;1;16,81;14,750318;0,414121;61,5833
