instant;dteday;season;yr;mnth;holiday;weekday;workingday;weathersit;temp_celsius;windspeed_kh;atemp;hum;casual;registered;cnt
73;14/03/2011;1;0;3;0;1;1;1;13,333897;9,174042;0,332;49,6957;359;1687;2046
74;15/03/2011;1;0;3;0;2;1;2;13,013031;12,348703;0,318178;65,5652;289;1767;2056
75;16/03/2011;1;0;3;0;3;1;2;14,973897;13,608839;0,36693;77,6522;321;1871;2192
76;17/03/2011;1;0;3;0;4;1;1;17,015;14,041793;0,410333;60,2917;424;2320;2744
77;18/03/2011;1;0;3;0;5;1;1;22,14;15,478139;0,527009;52,5217;884;2355;3239
78;19/03/2011;1;0;3;0;6;0;1;19,3725;24,667189;0,466525;37,9167;1424;1693;3117
79;20/03/2011;1;0;3;0;0;0;1;13,6325;13,917307;0,32575;47,375;1047;1424;2471
80;21/03/2011;2;0;3;0;1;1;2;17,647835;19,348461;0,409735;73,7391;401;1676;2077
81;22/03/2011;2;0;3;0;2;1;1;18,108347;15,12525;0,440642;62,4583;460;2243;2703
82;23/03/2011;2;0;3;0;3;1;2;14,225237;15,695487;0,337939;83,9565;203;1918;2121
83;24/03/2011;2;0;3;0;4;1;2;11,685;16,333729;0,270833;80,5833;166;1699;1865
84;25/03/2011;2;0;3;0;5;1;1;10,830847;15,458575;0,256312;49,5;300;1910;2210
85;26/03/2011;2;0;3;0;6;0;1;10,899153;14,041257;0,257571;39,4167;981;1515;2496
86;27/03/2011;2;0;3;0;0;0;2;10,374763;12,3481;0,250339;49,3913;472;1221;1693
87;28/03/2011;2;0;3;0;1;1;1;10,838268;14,217668;0,257574;30,2174;222;1806;2028
88;29/03/2011;2;0;3;0;2;1;1;12,4025;15,208732;0,292908;31,4167;317;2108;2425
89;30/03/2011;2;0;3;0;3;1;2;12,3;11,583496;0,29735;64,6667;168;1368;1536
90;31/03/2011;2;0;3;0;4;1;3;11,001653;14,582282;0,257575;91,8333;179;1506;1685
91;01/04/2011;2;0;4;0;5;1;2;12,3;17,333436;0,283454;68,625;307;1920;2227
92;02/04/2011;2;0;4;0;6;0;2;12,915;13,208782;0,315637;65,375;898;1354;2252
93;03/04/2011;2;0;4;0;0;0;1;15,511653;12,208271;0,378767;48;1651;1598;3249
94;04/04/2011;2;0;4;0;1;1;1;23,506653;25,833257;0,542929;42,625;734;2381;3115
95;05/04/2011;2;0;4;0;2;1;2;16,980847;26,000489;0,39835;64,2083;167;1628;1795
96;06/04/2011;2;0;4;0;3;1;1;16,024153;17,625221;0,387608;47,0833;413;2395;2808
97;07/04/2011;2;0;4;0;4;1;1;17,9375;10,874904;0,433696;60,2917;571;2570;3141
98;08/04/2011;2;0;4;0;5;1;2;13,769153;15,208464;0,324479;83,625;172;1299;1471
99;09/04/2011;2;0;4;0;6;0;2;14,0425;8,916561;0,341529;87,75;879;1576;2455
100;10/04/2011;2;0;4;0;0;0;2;17,493347;9,833389;0,426737;85,75;1188;1707;2895
101;11/04/2011;2;0;4;0;1;1;2;24,421732;21,739758;0,565217;71,6956;855;2493;3348
102;12/04/2011;2;0;4;0;2;1;2;20,6025;18,416893;0,493054;73,9167;257;1777;2034
103;13/04/2011;2;0;4;0;3;1;2;16,9125;16,791339;0,417283;81,9167;209;1953;2162
104;14/04/2011;2;0;4;0;4;1;1;19,1675;7,4169;0,462742;54,0417;529;2738;3267
105;15/04/2011;2;0;4;1;5;0;1;18,313347;15,167125;0,441913;67,125;642;2484;3126
106;16/04/2011;2;0;4;0;6;0;3;17,664153;22,834136;0,425492;88,8333;121;674;795
107;17/04/2011;2;0;4;0;0;0;1;18,723347;20,334232;0,445696;47,9583;1558;2186;3744
108;18/04/2011;2;0;4;0;1;1;1;21,0125;10,958989;0,503146;54,25;669;2760;3429
109;19/04/2011;2;0;4;0;2;1;2;20,739153;10,584057;0,489258;66,5833;409;2795;3204
110;20/04/2011;2;0;4;0;3;1;1;24,395;16,208975;0,564392;61,4167;613;3331;3944
111;21/04/2011;2;0;4;0;4;1;1;18,825847;21,792286;0,453892;40,7083;745;3444;4189
112;22/04/2011;2;0;4;0;5;1;2;13,803347;14,707907;0,321954;72,9583;177;1506;1683
113;23/04/2011;2;0;4;0;6;0;2;18,86;15,458575;0,450121;88,7917;1462;2574;4036
114;24/04/2011;2;0;4;0;0;0;2;23,848347;12,875725;0,551763;81,0833;1710;2481;4191
115;25/04/2011;2;0;4;0;1;1;1;24,873347;12,417311;0,5745;77,6667;773;3300;4073
116;26/04/2011;2;0;4;0;2;1;1;25,898347;21,8755;0,594083;72,9167;678;3722;4400
117;27/04/2011;2;0;4;0;3;1;2;25,42;20,9174;0,575142;83,5417;547;3325;3872
118;28/04/2011;2;0;4;0;4;1;2;25,3175;21,500836;0,578929;70,0833;569;3489;4058
119;29/04/2011;2;0;4;0;5;1;1;20,91;16,084221;0,497463;45,7083;878;3717;4595
120;30/04/2011;2;0;4;0;6;0;1;19,3725;15,750025;0,464021;50,3333;1965;3347;5312
121;01/05/2011;2;0;5;0;0;0;2;18,518347;7,125718;0,448204;76,2083;1138;2213;3351
122;02/05/2011;2;0;5;0;1;1;2;22,515847;12,291418;0,532833;73;847;3554;4401
123;03/05/2011;2;0;5;0;2;1;2;25,283347;22,958689;0,582079;69,7083;603;3848;4451
124;04/05/2011;2;0;5;0;3;1;2;16,980847;22,042732;0,40465;73,7083;255;2378;2633
125;05/05/2011;2;0;5;0;4;1;1;18,825847;19,791264;0,441917;44,4167;614;3819;4433
126;06/05/2011;2;0;5;0;5;1;1;19,645847;15,292482;0,474117;59;894;3714;4608
127;07/05/2011;2;0;5;0;6;0;1;21,32;10,75015;0,512621;54,125;1612;3102;4714
128;08/05/2011;2;0;5;0;0;0;1;21,661653;5,0007125;0,518933;63,1667;1401;2932;4333
129;09/05/2011;2;0;5;0;1;1;1;21,8325;11,792;0,525246;58,875;664;3698;4362
130;10/05/2011;2;0;5;0;2;1;1;21,8325;7,749957;0,522721;48,9167;694;4109;4803
131;11/05/2011;2;0;5;0;3;1;1;22,2425;8,083014;0,5284;63,2917;550;3632;4182
132;12/05/2011;2;0;5;0;4;1;1;21,935;12,707689;0,523363;74,75;695;4169;4864
133;13/05/2011;2;0;5;0;5;1;2;21,0125;12,041575;0,4943;86,3333;692;3413;4105
134;14/05/2011;2;0;5;0;6;0;2;21,354153;9,04165;0,500629;92,25;902;2507;3409
135;15/05/2011;2;0;5;0;0;0;2;23,0625;10,249593;0,536;86,7083;1582;2971;4553
136;16/05/2011;2;0;5;0;1;1;1;23,6775;8,500357;0,550512;78,7917;773;3185;3958
137;17/05/2011;2;0;5;0;2;1;2;23,028347;18,582718;0,538529;83,7917;678;3445;4123
138;18/05/2011;2;0;5;0;3;1;2;22,55;13,499964;0,527158;87;536;3319;3855
139;19/05/2011;2;0;5;0;4;1;2;21,764153;7,250271;0,510742;82,9583;735;3840;4575
140;20/05/2011;2;0;5;0;5;1;1;22,003347;8,375871;0,529042;71,9583;909;4008;4917
141;21/05/2011;2;0;5;0;6;0;1;24,7025;8,08355;0,571975;62,6667;2258;3547;5805
142;22/05/2011;2;0;5;0;0;0;1;24,770847;9,916536;0,5745;74,9583;1576;3084;4660
143;23/05/2011;2;0;5;0;1;1;2;25,898347;15,667414;0,590296;81;836;3438;4274
144;24/05/2011;2;0;5;0;2;1;2;27,06;13,875164;0,604813;74,0833;659;3833;4492
145;25/05/2011;2;0;5;0;3;1;1;27,094153;10,333611;0,615542;69,625;740;4238;4978
146;26/05/2011;2;0;5;0;4;1;1;29,041653;13,376014;0,654688;67,75;758;3919;4677
147;27/05/2011;2;0;5;0;5;1;1;27,948347;16,125493;0,637008;65,375;871;3808;4679
148;28/05/2011;2;0;5;0;6;0;1;26,889153;15,416164;0,612379;72,9583;2001;2757;4758
149;29/05/2011;2;0;5;0;0;0;1;27,3675;14,333846;0,61555;81,875;2355;2433;4788
150;30/05/2011;2;0;5;1;1;0;1;30,066653;8,792075;0,671092;68,5;1549;2549;4098
151;31/05/2011;2;0;5;0;2;1;1;31,775;7,459043;0,725383;63,6667;673;3309;3982
152;01/06/2011;2;0;6;0;3;1;2;31,330847;13,875164;0,720967;67,7083;513;3461;3974
153;02/06/2011;2;0;6;0;4;1;1;29,315;19,583229;0,643942;30,5;736;4232;4968
154;03/06/2011;2;0;6;0;5;1;1;25,42;16,959107;0,587133;35,4167;898;4414;5312
155;04/06/2011;2;0;6;0;6;0;1;26,035;8,250514;0,594696;45,625;1869;3473;5342
156;05/06/2011;2;0;6;0;0;0;2;26,581653;9,292364;0,616804;65,25;1685;3221;4906
157;06/06/2011;2;0;6;0;1;1;1;27,811653;8,167032;0,621858;60;673;3875;4548
158;07/06/2011;2;0;6;0;2;1;1;29,0075;12,583136;0,65595;59,7917;763;4070;4833
159;08/06/2011;2;0;6;0;3;1;1;31,809153;9,166739;0,727279;62,2083;676;3725;4401
160;09/06/2011;2;0;6;0;4;1;2;33,141653;10,042161;0,757579;56,8333;563;3352;3915
161;10/06/2011;2;0;6;0;5;1;1;30,955;9,417118;0,703292;60,5;815;3771;4586
162;11/06/2011;2;0;6;0;6;0;1;29,725;10,37495;0,678038;65,4583;1729;3237;4966
163;12/06/2011;2;0;6;0;0;0;1;28,3925;10,958989;0,643325;74,7917;1467;2993;4460
164;13/06/2011;2;0;6;0;1;1;1;26,035;20,45845;0,601654;49,4583;863;4157;5020
165;14/06/2011;2;0;6;0;2;1;1;24,770847;18,041961;0,591546;50,7083;727;4164;4891
166;15/06/2011;2;0;6;0;3;1;1;25,693347;11,250104;0,587754;47,1667;769;4411;5180
167;16/06/2011;2;0;6;0;4;1;2;25,761653;13,833557;0,595346;68,8333;545;3222;3767
168;17/06/2011;2;0;6;0;5;1;1;26,615847;9,582943;0,600383;73,5833;863;3981;4844
169;18/06/2011;2;0;6;0;6;0;1;28,563347;8,000336;0,643954;67,0417;1807;3312;5119
170;19/06/2011;2;0;6;0;0;0;2;28,665847;6,834;0,645846;66,6667;1639;3105;4744
171;20/06/2011;2;0;6;0;1;1;2;26,035;10,416825;0,595346;74,625;699;3311;4010
172;21/06/2011;3;0;6;0;2;1;2;27,914153;11,458675;0,637646;77,0417;774;4061;4835
173;22/06/2011;3;0;6;0;3;1;1;30,066653;11,541554;0,693829;70,75;661;3846;4507
174;23/06/2011;3;0;6;0;4;1;2;29,861653;15,999868;0,693833;70,3333;746;4044;4790
175;24/06/2011;3;0;6;0;5;1;1;29,690847;14,875675;0,656583;57,3333;969;4022;4991
176;25/06/2011;3;0;6;0;6;0;1;28,495;14,041257;0,643313;48,3333;1782;3420;5202
177;26/06/2011;3;0;6;0;0;0;1;27,88;6,3337311;0,637629;51,3333;1920;3385;5305
178;27/06/2011;3;0;6;0;1;1;2;27,9825;7,208396;0,637004;65,8333;854;3854;4708
179;28/06/2011;3;0;6;0;2;1;1;30,510847;9,666961;0,692558;63,4167;732;3916;4648
180;29/06/2011;3;0;6;0;3;1;1;29,861653;17,542007;0,654688;49,7917;848;4377;5225
181;30/06/2011;3;0;6;0;4;1;1;28,563347;12,415904;0,637008;43,4167;1027;4488;5515
182;01/07/2011;3;0;7;0;5;1;1;29,6225;6,874736;0,652162;39,625;1246;4116;5362
183;02/07/2011;3;0;7;0;6;0;1;30,271653;7,709154;0,667308;44,4583;2204;2915;5119
184;03/07/2011;3;0;7;0;0;0;2;29,383347;15,333486;0,668575;68,25;2282;2367;4649
185;04/07/2011;3;0;7;1;1;0;2;99;5,4591064;0,665417;63,7917;3065;2978;6043
186;05/07/2011;3;0;7;0;2;1;1;99;8,459286;0,696338;59,0417;1031;3634;4665
187;06/07/2011;3;0;7;0;3;1;1;29,52;10,042161;0,685633;74,3333;784;3845;4629
188;07/07/2011;3;0;7;0;4;1;1;30,75;10,6664;0,686871;65,125;754;3838;4592
189;08/07/2011;3;0;7;0;5;1;2;29,075847;15,083643;0,670483;75,7917;692;3348;4040
190;09/07/2011;3;0;7;0;6;0;1;30,066653;11,250104;0,664158;60,9167;1988;3348;5336
191;10/07/2011;3;0;7;0;0;0;1;30,6475;12,292557;0,690025;57,8333;1743;3138;4881
192;11/07/2011;3;0;7;0;1;1;1;31,2625;18,916579;0,729804;63,5833;723;3363;4086
193;12/07/2011;3;0;7;0;2;1;1;32,560847;13,417018;0,739275;55,9167;662;3596;4258
194;13/07/2011;3;0;7;0;3;1;1;30,613347;9,790911;0,689404;63,1667;748;3594;4342
195;14/07/2011;3;0;7;0;4;1;1;27,914153;16,124689;0,635104;47,625;888;4196;5084
196;15/07/2011;3;0;7;0;5;1;1;27,196653;12,249811;0,624371;59,125;1318;4220;5538
197;16/07/2011;3;0;7;0;6;0;1;28,153347;13,958914;0,638263;58,5;2418;3505;5923
198;17/07/2011;3;0;7;0;0;0;1;29,485847;16,417211;0,669833;60,4167;2006;3296;5302
199;18/07/2011;3;0;7;0;1;1;1;30,613347;14,458868;0,703925;65,125;841;3617;4458
200;19/07/2011;3;0;7;0;2;1;1;31,843347;8,7502;0,747479;65,0417;752;3789;4541
201;20/07/2011;3;0;7;0;3;1;1;31,501653;7,625739;0,74685;70,7083;644;3688;4332
202;21/07/2011;3;0;7;0;4;1;2;33,415;14,875407;0,826371;69,125;632;3152;3784
203;22/07/2011;3;0;7;0;5;1;1;34,781653;8,9177;0,840896;58,0417;562;2825;3387
204;23/07/2011;3;0;7;0;6;0;1;34,815847;8,791807;0,804287;50;987;2298;3285
205;24/07/2011;3;0;7;0;0;0;1;34,03;11,334457;0,794829;55,0833;1050;2556;3606
206;25/07/2011;3;0;7;0;1;1;1;30,476653;6,0841561;0,720958;75,7083;568;3272;3840
207;26/07/2011;3;0;7;0;2;1;1;31,638347;13,417286;0,696979;54,0833;750;3840;4590
208;27/07/2011;3;0;7;0;3;1;1;31,775;12,292021;0,690667;40,2917;755;3901;4656
209;28/07/2011;3;0;7;0;4;1;1;31,945847;11,958093;0,7399;58,3333;606;3784;4390
210;29/07/2011;3;0;7;0;5;1;1;34,371653;11,667246;0,785967;54,25;670;3176;3846
211;30/07/2011;3;0;7;0;6;0;1;32,970847;11,291979;0,728537;46,5833;1559;2916;4475
212;31/07/2011;3;0;7;0;0;0;1;33,039153;11,042471;0,729796;48,0833;1524;2778;4302
213;01/08/2011;3;0;8;0;1;1;1;31,638347;10,500039;0,703292;55,0833;729;3537;4266
214;02/08/2011;3;0;8;0;2;1;1;32,116653;13,79195;0,707071;49,125;801;4044;4845
215;03/08/2011;3;0;8;0;3;1;2;29,998347;9,084061;0,679937;65,75;467;3107;3574
216;04/08/2011;3;0;8;0;4;1;2;29,11;13,20905;0,664788;75,75;799;3777;4576
217;05/08/2011;3;0;8;0;5;1;1;29,144153;12,374632;0,656567;63,0833;1023;3843;4866
218;06/08/2011;3;0;8;0;6;0;2;29,383347;15,29275;0,676154;75,5;1521;2773;4294
219;07/08/2011;3;0;8;0;0;0;1;30,4425;13,499629;0,715292;75,2917;1298;2487;3785
220;08/08/2011;3;0;8;0;1;1;1;31,365;12,875725;0,703283;59,2083;846;3480;4326
221;09/08/2011;3;0;8;0;2;1;1;31,775;10,125107;0,724121;57,0417;907;3695;4602
222;10/08/2011;3;0;8;0;3;1;1;31,433347;13,417286;0,684983;42,4167;884;3896;4780
223;11/08/2011;3;0;8;0;4;1;1;29,4175;11,041332;0,651521;42,375;812;3980;4792
224;12/08/2011;3;0;8;0;5;1;1;29,041653;8,416607;0,654042;41,5;1051;3854;4905
225;13/08/2011;3;0;8;0;6;0;2;28,119153;14,167418;0,645858;72,9583;1504;2646;4150
226;14/08/2011;3;0;8;0;0;0;2;27,743347;14,916411;0,624388;81,75;1338;2482;3820
227;15/08/2011;3;0;8;0;1;1;1;27,299153;13,999918;0,616167;71,2083;775;3563;4338
228;16/08/2011;3;0;8;0;2;1;1;28,734153;15,834043;0,645837;57,8333;721;4004;4725
229;17/08/2011;3;0;8;0;3;1;1;29,656653;9,625689;0,666671;57,5417;668;4026;4694
230;18/08/2011;3;0;8;0;4;1;1;29,178347;15,624936;0,662258;65,4583;639;3166;3805
231;19/08/2011;3;0;8;0;5;1;2;28,085;9,333636;0,633221;72,2917;797;3356;4153
232;20/08/2011;3;0;8;0;6;0;1;28,5975;6,999289;0,648996;67,4167;1914;3277;5191
233;21/08/2011;3;0;8;0;0;0;1;29,144153;16,666518;0,675525;77;1249;2624;3873
234;22/08/2011;3;0;8;0;1;1;1;28,358347;18,54225;0,638254;47;833;3925;4758
235;23/08/2011;3;0;8;0;2;1;1;26,274153;9,833121;0,606067;45,5417;1281;4614;5895
236;24/08/2011;3;0;8;0;3;1;1;27,606653;16,958236;0,630692;60,5;949;4181;5130
237;25/08/2011;3;0;8;0;4;1;2;28,050847;14,125811;0,645854;77,1667;435;3107;3542
238;26/08/2011;3;0;8;0;5;1;1;28,7;5,6254875;0,659733;76,125;768;3893;4661
239;27/08/2011;3;0;8;0;6;0;2;27,88;25,166339;0,635556;85;226;889;1115
240;28/08/2011;3;0;8;0;0;0;1;28,989419;20,412153;0,647959;56,1765;1415;2919;4334
241;29/08/2011;3;0;8;0;1;1;1;26,103347;10,708275;0,607958;55,4583;729;3905;4634
242;30/08/2011;3;0;8;0;2;1;1;26,205847;8,375536;0,594704;54,8333;775;4429;5204
243;31/08/2011;3;0;8;0;3;1;1;26,923347;5,5833311;0,611121;59,7917;688;4370;5058
244;01/09/2011;3;0;9;0;4;1;1;26,855;9,500332;0,614921;63,9167;783;4332;5115
245;02/09/2011;3;0;9;0;5;1;2;26,376653;9,375243;0,604808;72,7083;875;3852;4727
246;03/09/2011;3;0;9;0;6;0;1;27,435847;12,416775;0,633213;71,6667;1935;2549;4484
247;04/09/2011;3;0;9;0;0;0;1;29,075847;13,833289;0,665429;74,2083;2521;2419;4940
248;05/09/2011;3;0;9;1;1;0;2;27,606653;14,250632;0,625646;79,0417;1236;2115;3351
249;06/09/2011;3;0;9;0;2;1;3;22,14;23,044181;0,5152;88,6957;204;2506;2710
250;07/09/2011;3;0;9;0;3;1;3;24,565847;6,5003936;0,544229;91,7083;118;1878;1996
251;08/09/2011;3;0;9;0;4;1;3;25,990433;12,914116;0,555361;93,9565;153;1689;1842
252;09/09/2011;3;0;9;0;5;1;2;26,65;8,333393;0,578946;89,7917;417;3127;3544
253;10/09/2011;3;0;9;0;6;0;1;27,06;10,291736;0,607962;75,375;1750;3595;5345
254;11/09/2011;3;0;9;0;0;0;1;26,786653;7,708618;0,609229;71,375;1633;3413;5046
255;12/09/2011;3;0;9;0;1;1;1;26,418268;5,957171;0,60213;69,2174;690;4023;4713
256;13/09/2011;3;0;9;0;2;1;1;26,684153;9,500868;0,603554;71,25;701;4062;4763
257;14/09/2011;3;0;9;0;3;1;1;27,606653;11,2091;0,6269;69,7083;647;4138;4785
258;15/09/2011;3;0;9;0;4;1;2;23,6775;18,166782;0,553671;70,9167;428;3231;3659
259;16/09/2011;3;0;9;0;5;1;2;19,235847;11,000261;0,461475;59,0417;742;4018;4760
260;17/09/2011;3;0;9;0;6;0;2;20,158347;12,708225;0,478512;71,8333;1434;3077;4511
261;18/09/2011;3;0;9;0;0;0;1;20,8075;11,958361;0,490537;69,5;1353;2921;4274
262;19/09/2011;3;0;9;0;1;1;2;22,515847;10,166714;0,529675;69;691;3848;4539
263;20/09/2011;3;0;9;0;2;1;2;23,028347;9,041918;0,532217;88,125;438;3203;3641
264;21/09/2011;3;0;9;0;3;1;2;24,395;6,4590814;0,550533;90;539;3813;4352
265;22/09/2011;3;0;9;0;4;1;2;25,761653;8,584375;0,554963;90,2083;555;4240;4795
266;23/09/2011;4;0;9;0;5;1;2;24,975847;5,2505689;0,522125;97,25;258;2137;2395
267;24/09/2011;4;0;9;0;6;0;2;24,873347;5,2516811;0,564412;86,25;1776;3647;5423
268;25/09/2011;4;0;9;0;0;0;2;26,000847;3,3754064;0,572637;84,5;1544;3466;5010
269;26/09/2011;4;0;9;0;1;1;2;26,615847;7,4169;0,589042;84,8333;684;3946;4630
270;27/09/2011;4;0;9;0;2;1;2;26,103347;7,917457;0,574525;88,5417;477;3643;4120
271;28/09/2011;4;0;9;0;3;1;2;26,035;9,958143;0,575158;84,875;480;3427;3907
272;29/09/2011;4;0;9;0;4;1;1;25,283347;11,583161;0,574512;69,9167;653;4186;4839
273;30/09/2011;4;0;9;0;5;1;1;23,130847;13,833825;0,544829;64,75;830;4372;5202
274;01/10/2011;4;0;10;0;6;0;2;16,81;19,583832;0,412863;75,375;480;1949;2429
